Name,Location,Latitude,Longitude
Caibaan Elementary School,"Brgy. 95, Caibaan",11.2092508,124.9946319
Chinese Cemetery,"Brgy. 95, Caibaan",11.2145829,124.998386
Brgy. 95 Caibaan Brgy Hall,"Brgy. 95, Caibaan",,
Brgy. 96 Calanipawan Brgy Hall,"Brgy. 96, Calanipawan",11.208792198381028,124.99883427203208
UNDP Community Evacuation Center,"Brgy. 97, Cabalawan",11.307276316192773,124.9553359824085
Brgy 97 Cabalawan Covered Court,"Brgy. 97, Cabalawan",11.298697012517367,124.96322157330165
Cabalawan Elementary School,"Brgy. 97, Cabalawan",11.2985152,124.9643373
Camansihay Covered Court,"Brgy. 98, Camansihay",,
Camansihay Elementary School,"Brgy. 98, Camansihay",11.3028056,124.9416433
Mercyville Elementary School,"Brgy. 99, Diit",11.2644756,124.9629372
Brgy 99 Diit Brgy Hall,"Brgy. 99, Diit",11.262449728831772,124.96526831228034
Scandinavian Elementary School,"Brgy. 100, San Roque",11.2715586,124.9511174
Scandinavian National High School,"Brgy. 100, San Roque",11.2708275,124.9515945
Teacher Academy Building,"Brgy. 100, San Roque",,
San Roque Chapel,"Brgy. 100, San Roque",,
San Roque Elementary School,"Brgy. 100, San Roque",11.2765582,124.942934
San Roque Gym,"Brgy. 100, San Roque",11.274808178087813,124.94363615304624
Lucio Vivero Elementary School,"Brgy. 101, New Kawayan",11.3322753,124.9487305
Brgy 101 New Kawayan Brgy Hall,"Brgy. 101, New Kawayan",11.332045425144502,124.94664980325692
Northern Tacloban City National High School,"Brgy. 101, New Kawayan",11.3310279,124.9498465
Brgy 102 Brgy Hall,"Brgy. 102, New Kawayan",11.335782038620648,124.96912285991054
Brgy 103-A Brgy Hall,"Brgy. 103-A, Paglaum",11.258964076256683,124.92111655647804
Brgy 103-A Health Center,"Brgy. 103-A, Paglaum",11.258874284290869,124.92108451260239
Lorenzo Daa Elementary School,"Brgy. 103-A, Paglaum",11.253787523689915,124.92156517073725
Palanog Resettlement Elementary School,"Brgy. 103, Palanog",11.2523407,124.9544325
Brgy 103 Palanog Brgy Hall,"Brgy. 103, Palanog",11.251567369201284,124.95401417253773
Salvacion Elementary School,"Brgy. 104, Salvacion",11.2350998,124.9609112
Brgy 104 Salvacion Brgy Hall,"Brgy. 104, Salvacion",,
San Isidro Covered Court,"Brgy. 105, Suhi",11.315841647513047,124.95310321092967
Bulante Elementary School,"Brgy. 105, Suhi",11.316003240960317,124.9527461506009
Brgy 106 Sto. Niño Brgy Hall,"Brgy. 106, Sto. Niño",11.331892817670155,124.94374182154091
Brgy 107 Brgy Hall,"Brgy. 107, Sta. Elena",11.341237630980014,124.9366051926622
Brgy 107 Day Care Center,"Brgy. 107, Sta. Elena",11.341363303620126,124.93646328406996
Sta. Elena Elementary School,"Brgy. 107, Sta. Elena",11.340791043829443,124.93470315975706
Sta. Elena Covered Court,"Brgy. 107, Sta. Elena",11.340938036159596,124.93636829686714
Leyte Chirstian College,"Brgy. 108, Tagpuro",11.344160627627097,124.96388025296797
Brgy 108 Tagpuro Brgy Hall,"Brgy. 108, Tagpuro",11.344139308374052,124.95449940836903
Tagpuro Old Chapel,"Brgy. 108, Tagpuro",,
Tagpuro Elementary School,"Brgy. 108, Tagpuro",11.34416623795658,124.95456750160483
Brgy. 109-A V&G Brgy Hall,"Brgy. 109-A, V&G",11.20479985012885,124.99951933703261
V&G Dela Cruz Memorial School,"Brgy. 109-A, V&G",11.204950279846527,124.99623483977763
Brgy. 109 V&G Brgy Hall,"Brgy. 109, V&G",,
Our Lady of Lourdes Church,"Brgy. 109, V&G",11.207155076581818,124.99923323099992
Holy Infant College,"Brgy. 110, Utap",11.2303305,124.9973351
Brgy. 110 Utap Brgy Hall,"Brgy. 110, Utap",11.228192975827385,124.99309453996315
TBC Paterno,Paterno St.,11.239243966071516,125.00177385256997
